litry;prumer;stena;takt;takt_plan;pracoviste_id
5;140;2,45;0;0;ML BANFI
5;140;2,45;80;92;ML BANFI
10;140;2,45;90;103,5;ML BANFI
13,4;140;2,45;95;109,3;ML BANFI
6;140;2,7;80;92;ML BANFI
5;140;2,8;0;0;ML BANFI
5;140;2,8;80;92;ML BANFI
7,5;140;2,8;80;92;ML BANFI
10;140;2,8;90;103,5;ML BANFI
13,4;140;2,8;95;109,3;ML BANFI
5;140;3,1;0;0;ML BANFI
5;140;3,1;80;92;ML BANFI
6,7;140;3,1;80;92;ML BANFI
7;140;3,1;80;92;ML BANFI
8;140;3,1;80;92;ML BANFI
10;140;3,1;90;103,5;ML BANFI
13,4;140;3,1;95;109,3;ML BANFI
10;140;3,3;90;103,5;ML BANFI
5;140;3,4;0;0;ML BANFI
5;140;3,4;80;92;ML BANFI
9;140;3,4;80;92;ML BANFI
10;140;3,4;90;103,5;ML BANFI
6,8;140;3,5;0;0;ML BANFI
4;140;3,7;0;0;ML BANFI
5;140;3,7;80;92;ML BANFI
6;140;3,7;80;92;ML BANFI
7;140;3,7;80;92;ML BANFI
10;140;3,7;90;103,5;ML BANFI
5;140;3,95;0;0;ML BANFI
5;140;3,95;80;92;ML BANFI
8;140;3,95;80;92;ML BANFI
10;140;3,95;90;103,5;ML BANFI
10;160;2,8;90;103,5;ML BANFI
10;160;3,4;0;0;ML BANFI
10;160;3,4;90;103,5;ML BANFI
14;160;3,4;95;109,3;ML BANFI
10;160;3,9;90;103,5;ML BANFI
10;171;3,45;0;0;ML BANFI
10;171;3,45;90;103,5;ML BANFI
15;171;3,45;95;109,3;ML BANFI
8;171;3,6;0;0;ML BANFI
8;171;3,6;80;92;ML BANFI
11;171;3,6;90;103,5;ML BANFI
8;178;3,1;0;0;ML BANFI
8;178;3,1;80;92;ML BANFI
10;178;3,1;90;103,5;ML BANFI
11;178;3,1;95;109,3;ML BANFI
8;178;3,2;0;0;ML BANFI
8;178;3,2;80;92;ML BANFI
10;178;3,2;90;103,5;ML BANFI
11;178;3,2;95;109,3;ML BANFI
8;178;3,6;0;0;ML BANFI
8;178;3,6;80;92;ML BANFI
15;178;3,6;100;115;ML BANFI
8,3;178;3,7;0;0;ML BANFI
8,3;178;3,7;80;92;ML BANFI
10;178;3,7;85;97,8;ML BANFI
10,8;178;3,7;90;103,5;ML BANFI
14;178;3,7;100;115;ML BANFI
15,75;178;3,7;100;115;ML BANFI
10;178;4,4;90;103,5;ML BANFI
10;178;4,65;0;0;ML BANFI
10;178;4,65;90;103,5;ML BANFI
12;178;4,65;95;109,3;ML BANFI
8;178;4,8;0;0;ML BANFI
8;178;4,8;80;92;ML BANFI
10;178;4,9;90;103,5;ML BANFI
10;178;6,7;0;0;ML BANFI
10;178;6,7;90;103,5;ML BANFI
15;178;6,7;100;115;ML BANFI
12;204;3;90;103,5;ML BANFI
13,4;204;3,4;95;109,3;ML BANFI
10,7;204;3,6;0;0;ML BANFI
10,7;204;3,6;90;103,5;ML BANFI
13,4;204;3,6;95;109,3;ML BANFI
20;204;3,6;100;115;ML BANFI
10,7;204;3,8;0;0;ML BANFI
10,7;204;3,8;90;103,5;ML BANFI
13,4;204;3,8;95;109,3;ML BANFI
20;204;3,8;100;115;ML BANFI
10,7;204;4,1;0;0;ML BANFI
10,7;204;4,1;90;103,5;ML BANFI
13,4;204;4,1;95;109,3;ML BANFI
20;204;4,1;100;115;ML BANFI
13,4;204;4,8;95;109,3;ML BANFI
15;204;5,6;95;109,3;ML BANFI
40;229;3;90;103,5;ML BANFI
40;229;3,3;90;103,5;ML BANFI
26,8;229;4;75;86,3;ML BANFI
50;229;4,1;105;120,8;ML BANFI
33,4;229;4,2;80;92;ML BANFI
50;229;4,8;105;120,8;ML BANFI
40;229;5,2;90;103,5;ML BANFI
50;229;5,2;105;120,8;ML BANFI
50;229;5,6;105;120,8;ML BANFI
50;229;6;105;120,8;ML BANFI
50;229;6,2;105;120,8;ML BANFI
50;229;7,3;105;120,8;ML BANFI
50;229;8,1;105;120,8;ML BANFI
50;229;8,5;105;120,8;ML BANFI
50;229;9,2;105;120,8;ML BANFI
50;229;9,8;105;120,8;ML BANFI
30,5;237;4,3;80;92;ML BANFI
34,6;244;4,4;85;97,8;ML BANFI
67,5;267;4,4;105;120,8;ML BANFI
67,5;267;4,9;105;120,8;ML BANFI
67,5;267;5,2;105;120,8;ML BANFI
67,5;267;5,65;105;120,8;ML BANFI
80;267;5,65;130;149,5;ML BANFI
80;267;7;130;149,5;ML BANFI
80;267;7,5;130;149,5;ML BANFI
29;273;4,9;85;97,8;ML BANFI
26;280;5,1;80;92;ML BANFI
100;316;4,9;160;184;ML BANFI
80;316;6,6;125;143,8;ML BANFI
80;320;5,7;125;143,8;ML BANFI
95;320;5,7;145;166,8;ML BANFI
118;320;5,7;185;212,8;ML BANFI
